,Element,Fit type,Peak number,Peak type,Energy (keV),Resolution,Min of range,Max of range,Mean,A,Sigma,Error on mean,a,b,c,chisq,Reduced chisq,Probchisq
0,Barium133,Gauss,1,Full,81,0.0178020192145735,550.0,585.0,570.503823362002,896901.1682990331,4.124200128923381,1,5078.690958654943,0.0,0.0,29044.347291832324,854.2455085833036,0.0
1,Barium133,Linear,1,Full,81,0.018134091366106456,550.0,585.0,570.589595339051,923967.431295284,4.204701989143076,1,95191.49373525842,-160.11120935545856,0.0,10435.392656794811,306.9233134351415,0.0
2,Barium133,Quad,1,Full,81,0.01710605340473614,550.0,585.0,570.6543197240492,818504.1350606933,3.955482154186962,1,-9060850.219697481,32059.25322282549,-28.325685996198718,3108.7167062638537,91.43284430187805,0.0
3,Barium133,Gauss,2,Full,161,0.01008352932030339,1125.0,1140.0,1131.9171367143454,32148.75985181895,4.667360880375657,1,2785.587767741032,0.0,0.0,7.262306164671976,0.5187361546194269,92.41263737812626
4,Barium133,Linear,2,Full,161,0.010471777945908797,1125.0,1140.0,1131.727755544715,35235.15500814255,4.854439546956981,1,-12267.850086783166,13.165453216410897,0.0,5.776312991683863,0.41259378512027595,97.18182426007283
5,Barium133,Quad,2,Full,161,0.008471199551697027,1125.0,1140.0,1131.6989630841422,15708.017393953165,3.890455389374207,1,-15206863.344162518,26865.868596443786,-11.862873519293409,5.650453278481207,0.4036038056058005,97.45478051453553
6,Barium133,Gauss,3,Full,223,0.007377387232700277,1565.0,1582.0,1573.296927086816,18187.64093040714,4.732333581814704,1,1738.520555352441,0.0,0.0,5.879996710240281,0.36749979439001756,98.9340701299508
7,Barium133,Linear,3,Full,223,0.0072692774850709385,1565.0,1582.0,1573.5484521405647,17647.177953984065,4.660179952389059,1,14670.523218377835,-8.203092050043647,0.0,2.652747048079789,0.1657966905049868,99.99262443282093
8,Barium133,Quad,3,Full,223,0.007515230648615849,1565.0,1582.0,1573.549799517869,20067.484657441262,4.82433178787312,1,2949846.0368120153,-3739.006790057043,1.1854646120912802,2.6552423656170263,0.16595264785106414,99.99257685018922
9,Barium133,Gauss,4,Full,276,0.005597003215635611,1935.0,1960.0,1948.0775981615152,191029.96417867905,4.4318955096378465,1,965.854712597692,0.0,0.0,24.221677497336284,1.0092365623890118,44.8981259461307
10,Barium133,Linear,4,Full,276,0.005596847007132105,1935.0,1960.0,1948.0772279638704,191020.774538517,4.431766474814315,1,734.4061579773121,0.1190198631805135,0.0,24.39316527941088,1.01638188664212,43.93085730388692
11,Barium133,Quad,4,Full,276,0.005673253644821752,1935.0,1960.0,1948.0742301002815,198505.13802547354,4.494880900313551,1,10652780.698807362,-10937.390752201945,2.807539487282018,19.631012311943575,0.8179588463309823,71.75544007727046
12,Barium133,Gauss,5,Full,303,0.005118134652829914,2118.0,2150.0,2134.553057588567,436845.7201583945,4.449918334696219,1,700.5765180093049,0.0,0.0,121.05487458006475,3.904995954195637,1.389555137620846e-10
13,Barium133,Linear,5,Full,303,0.005117927376205297,2118.0,2150.0,2134.5522082103107,436818.2378084659,4.449730368251488,1,-568.1614444285578,0.5949239906428043,0.0,131.44559467601496,4.240180473419837,2.4868995751603507e-12
14,Barium133,Quad,5,Full,303,0.005138998707110521,2118.0,2150.0,2134.551549538062,441054.7286700855,4.468838712505398,1,5166894.826857538,-4841.937220653629,1.1344575114946496,123.05914653941173,3.9696498883681204,6.440403765850533e-11
15,Barium133,Gauss,6,Full,356,0.004448585107562671,2493.0,2526.0,2509.4387395415392,1231083.720347195,4.548388379488478,1,229.4873431754018,0.0,0.0,607.6661111267682,18.989565972711507,0.0
16,Barium133,Linear,6,Full,356,0.004448588010644112,2493.0,2526.0,2509.438369024979,1231085.7994431637,4.548391471202362,1,-1491.3770980312493,0.6857156594041246,0.0,658.0184290202784,20.5630759068837,0.0
17,Barium133,Quad,6,Full,356,0.0044549123727925,2493.0,2526.0,2509.438466295558,1235167.891465523,4.555129847367784,1,6377047.906720411,-5083.040136530704,1.012903841621042,722.6422480643648,22.5825702520114,0.0
18,Barium133,Gauss,7,Full,384,0.00416332961988078,2688.0,2723.0,2705.554964999232,163250.56787235805,4.593348159820699,1,34.542313225913084,0.0,0.0,126.52427397669858,3.7213021757852522,1.4027667916138853e-10
19,Barium133,Linear,7,Full,384,0.004163383086616374,2688.0,2723.0,2705.5572043375837,163253.4445205006,4.59340960604532,1,1475.8618817232273,-0.5327663449324994,0.0,85.02901367763147,2.500853343459749,0.00029404001586907924
20,Barium133,Quad,7,Full,384,0.004184128020113291,2688.0,2723.0,2705.5572666409366,165099.27781118685,4.61725100558128,1,3023208.264158337,-2234.3440980087644,0.41282236749722057,119.72249609652474,3.521249885191904,1.7699952614691483e-09
21,Barium133,Gauss,1,Zoom,81,0.0174393408434099,562.2554231041552,578.7522236198488,570.553124331369,866376.9455018447,4.036278625486907,1,6545.3496011779625,0.0,0.0,310.56342851373586,22.18310203669542,0.0
22,Barium133,Linear,1,Zoom,81,0.017481082554011627,562.2554231041552,578.7522236198488,570.6783952561963,871709.0974194284,4.046397767185867,1,179431.8368355458,-303.5285666379177,0.0,36.593093304731894,2.613792378909421,0.084990975495014
23,Barium133,Quad,1,Zoom,81,0.019786324316513667,562.2554231041552,578.7522236198488,570.6729188666509,1418880.5952940937,4.60524092973926,1,116942025.93787226,-409660.3182762726,358.6758113143167,29.056876196246694,2.075491156874764,1.0266750851083084
24,Barium133,Gauss,2,Zoom,161,0.009751533617441804,1122.582414953594,1141.2518584750967,1131.907150998774,29775.371096641476,4.507387842099185,1,2904.08528976665,0.0,0.0,8.158692668835718,0.47992309816680695,96.30346773106542
25,Barium133,Linear,2,Zoom,161,0.009758492566437531,1122.582414953594,1141.2518584750967,1131.870464672577,29823.41661013841,4.510741029525338,1,541.187970438723,2.0854474261122604,0.0,8.020602469087233,0.47180014524042546,96.61041557095085
26,Barium133,Quad,2,Zoom,161,0.01069291235705408,1122.582414953594,1141.2518584750967,1131.8768531777357,41969.81179051886,4.960993771653302,1,7298664.938713291,-12894.489324563749,5.69683084900371,7.799026374881707,0.45876625734598275,97.06571660589239
27,Barium133,Gauss,3,Zoom,223,0.007254323739622022,1563.8322599231865,1582.7615942504453,1573.2936521145834,17534.24050802078,4.650199658591752,1,1769.6290337084513,0.0,0.0,6.175690898739542,0.36327593521997303,99.19252724282926
28,Barium133,Linear,3,Zoom,223,0.00738229743197439,1563.8322599231865,1582.7615942504453,1573.52130519355,18243.151816547073,4.735610701433754,1,13090.606181683599,-7.216954190585361,0.0,2.9274593597249727,0.1722034917485278,99.9941722769733
29,Barium133,Quad,3,Zoom,223,0.006782672807871305,1563.8322599231865,1582.7615942504453,1573.5323830915745,13443.511904290335,4.335414671974709,1,-6027202.326417754,7670.980791260328,-2.4399380681383995,2.77269946636064,0.16309996860944942,99.99606818021279
30,Barium133,Gauss,4,Zoom,276,0.005651130251734682,1939.2138071422396,1956.9413891807908,1948.075721651532,194803.16314631663,4.476606241438648,1,782.5654365722655,0.0,0.0,6.921231460690123,0.4614154307126749,95.97987272631634
31,Barium133,Linear,4,Zoom,276,0.005648020328849487,1939.2138071422396,1956.9413891807908,1948.0571696387829,194571.35425498514,4.4740373416388035,1,-14148.43854503268,7.670455720898852,0.0,7.078288820517074,0.47188592136780494,95.54407473938234
32,Barium133,Quad,4,Zoom,276,0.0057304168172141135,1939.2138071422396,1956.9413891807908,1948.0571622049192,205821.44932705592,4.542099581356018,1,24440117.659519278,-25099.434447162694,6.444150043452723,6.914481149199731,0.46096540994664875,95.99794811562582
33,Barium133,Gauss,5,Zoom,303,0.005124866259327171,2125.6532209191746,2143.452894257959,2134.551129853096,437814.69797118625,4.456022830384418,1,657.8241615931246,0.0,0.0,51.02786285845874,3.189241428653671,0.0015703363386299074
34,Barium133,Linear,5,Zoom,303,0.005118494555982101,2125.6532209191746,2143.452894257959,2134.4856698072854,436760.6197632841,4.45024470983165,1,-124212.75093201332,58.524122204481365,0.0,21.836663600783545,1.3647914750489716,14.854417908376716
35,Barium133,Quad,5,Zoom,303,0.005426574283437579,2125.6532209191746,2143.452894257959,2134.4866870607957,545275.3837369902,4.729623998614684,1,260077916.17301086,-243754.83646786088,57.11269692230645,19.62930061699969,1.2268312885624806,23.73826819597197
36,Barium133,Gauss,6,Zoom,356,0.0044448484782858505,2500.3419627825624,2518.535516300516,2509.436602875007,1228905.3223511998,4.5444071378412465,1,334.21138800478985,0.0,0.0,100.0654672289603,6.254091701810019,3.3639757646142243e-12
37,Barium133,Linear,6,Zoom,356,0.004449175021411891,2500.3419627825624,2518.535516300516,2509.3764022566984,1231765.9489106655,4.549016909284717,1,-363479.1023945535,144.92188076522987,0.0,34.922187660898125,2.182636728806133,0.40728741757803943
38,Barium133,Quad,6,Zoom,356,0.004548209186180702,2500.3419627825624,2518.535516300516,2509.3774956160496,1339220.8472740974,4.654534168226433,1,353775890.8813933,-282110.4285542133,56.23954727780446,36.140248228401006,2.258765514275063,0.2766476762999681
39,Barium133,Gauss,7,Zoom,384,0.004200584273766637,2696.368268679591,2714.7416613188734,2705.5519036892606,166020.23859762197,4.636163580333155,1,-90.76463426980406,0.0,0.0,12.49794470061185,0.7811215437882406,70.90503488667498
40,Barium133,Linear,7,Zoom,384,0.004198856063304853,2696.368268679591,2714.7416613188734,2705.5319491840337,165877.64010458093,4.634177410557507,1,-16884.589903973738,6.2096933919196635,0.0,12.67679725381367,0.7922998283633543,69.6226061609362
41,Barium133,Quad,7,Zoom,384,0.0040809195699844465,2696.368268679591,2714.7416613188734,2705.5314380899863,148944.06828899565,4.498637282592656,1,-65927299.96930639,48729.629299646855,-9.004391538472925,12.067990108292582,0.7542493817682864,73.92863155616998
42,Sodium22,Gauss,1,Full,511,0.00547630935375344,3570.0,3630.0,3601.597035157021,153173.27526009717,8.183826665598957,1,161.81542763650165,0.0,0.0,202.4232714761449,3.430902906375337,0.0
43,Sodium22,Linear,1,Full,511,0.005476910534877541,3570.0,3630.0,3601.5998105476215,153199.26781702068,8.184746087952535,1,556.6305553356129,-0.10978879128006022,0.0,197.6290673723935,3.3496452097015847,1.1102230246251565e-14
44,Sodium22,Quad,1,Full,511,0.005351891812338985,3570.0,3630.0,3601.6123802728584,145453.86845023464,7.99354754657626,1,-4333703.413213272,2407.394522001643,-0.3342997737183232,90.04730357145309,1.5262254842619167,0.5713434021341834
45,Sodium22,Gauss,2,Full,1274,0.0015675290041134756,8966.0,9000.0,8983.574591715089,35483.6051133271,5.785450048075726,1,22.911945856836414,0.0,0.0,26.264480317739235,0.795893342961795,79.09376369470141
46,Sodium22,Linear,2,Full,1274,0.0015677413024509901,8966.0,9000.0,8983.577724795416,35491.61396195099,5.786259525909582,1,770.9968184105468,-0.08330269724816117,0.0,26.342479275838677,0.7982569477526872,78.77135874728553
47,Sodium22,Quad,2,Full,1274,0.0015237860800320652,8966.0,9000.0,8983.58336068755,32893.424220349654,5.618661686324534,1,-34978802.68823464,7787.566604836778,-0.43344787143428865,14.769303495169254,0.44755465136876527,99.73982443506297
